Words,Tag
bad,Negative
crap,Negative
overheat,Negative
slow,Negative
worst,Negative
shuts,Negative
poor,Negative
not,Negative
defective,Negative
horrible,Negative
terrible,Negative
problem,Negative
never buy,Negative
weak,Negative
fail,Negative
fraudulent,Negative
wrong,Negative
issues,Negative
nightmare,Negative
slam,Negative
seriously,Negative
problems,Negative
rotten,Negative
busted,Negative
broken,Negative
avoid,Negative
poop,Negative
sucks,Negative
shit,Negative
disappointment,Negative
old,Negative
scam,Negative
downgrade,Negative
missing,Negative
flaw,Negative
lied,Negative
hesitate,Negative
idiot,Negative
hell,Negative
basic ,Negative
