Words,Tag
average,Neutral
neutral,Neutral
laptop,Neutral
apple,Neutral
trail,Neutral
my review,Neutral
pc,Neutral
lenovo,Neutral
how to,Neutral
asus,Neutral
not bad,Neutral
could be,Neutral
del,Neutral
dell,Neutral
fairly,Neutral
hp,Neutral
compaq,Neutral
pavilion,Neutral
!,Neutral
?,Neutral
when,Neutral
but,Neutral
latitude,Neutral
alienware,Neutral
610,Neutral
graduate,Neutral
macbook air,Neutral
macbook pro,Neutral
ok,Neutral
luna,Neutral
new to,Neutral
exceptional,Neutral
first,Neutral
second,Neutral
third ,Neutral
fourth,Neutral
